kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,12.58,1066,-11.0833,-6.1227,28.8,43.71,56.29,0.0,51.5,34.33,65.67,0.0689,-0.0143
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,1.66,421,-2.4654,-1.2984,44.78,49.17,50.83,4.04,49.88,35.39,64.61,0.0064,0.0072
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,59.34,123,-0.0658,-0.0432,49.71,20.33,79.67,33.33,43.9,33.33,66.67,0.2699,-0.0376
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,9.94,1359,13.3479,5.0377,75.29,45.03,54.97,0.0,47.76,41.72,58.28,0.0778,0.0315
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,13.88,576,2.9381,1.4697,57.64,43.06,56.94,3.82,45.49,32.47,67.53,0.0756,0.18
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,6.2,1066,-11.0833,-6.1227,28.8,46.9,53.1,0.28,51.69,36.49,63.51,0.0741,-0.0302
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,2.62,421,-2.4654,-1.2984,44.78,48.69,51.31,9.5,51.78,37.53,62.47,0.0261,-0.0399
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,78.86,123,-0.0658,-0.0432,49.71,10.57,89.43,37.4,41.46,38.21,61.79,0.523,-0.0308
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,1.04,1358,13.3518,5.0393,75.3,50.52,49.48,0.15,48.31,49.19,50.81,-0.0145,0.1611
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中强,22.08,575,2.9123,1.4681,57.63,38.96,61.04,7.83,42.96,32.35,67.65,0.1816,0.3889
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,1.12,1066,-11.0833,-6.1227,28.8,50.56,49.44,0.47,53.1,37.52,62.48,-0.0087,-0.0552
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,8.32,421,-2.4654,-1.2984,44.78,45.84,54.16,14.73,51.54,35.15,64.85,0.0564,-0.0638
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,80.48,123,-0.0658,-0.0432,49.71,9.76,90.24,34.15,39.02,43.9,56.1,0.8595,0.0108
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,3.68,1356,13.3591,5.0437,75.33,51.84,48.16,0.44,47.57,50.22,49.78,-0.0629,0.3092
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中强,23.82,575,2.9123,1.4681,57.63,38.09,61.91,10.61,42.78,34.26,65.74,0.2503,0.5519
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,3.18,1066,-11.0833,-6.1227,28.8,51.59,48.41,1.97,53.1,38.93,61.07,-0.048,0.0187
233MA,ma233,大周期天气过滤,233MA下侧偏离,10,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,22.56,421,-2.4654,-1.2984,44.78,38.72,61.28,21.14,49.88,38.48,61.52,0.3141,-0.3973
233MA,ma233,大周期天气过滤,233MA贴近中轴,10,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,91.86,123,-0.0658,-0.0432,49.71,4.07,95.93,41.46,42.28,41.46,58.54,1.0198,0.1966
233MA,ma233,大周期天气过滤,233MA上侧极端,10,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,2.44,1351,13.3557,5.0409,75.3,51.22,48.78,1.41,45.15,53.44,46.56,-0.0516,0.6736
233MA,ma233,大周期天气过滤,233MA上侧偏离,10,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中强,25.92,575,2.9123,1.4681,57.63,37.04,62.96,15.13,43.65,33.22,66.78,0.3714,0.9277
中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,32.58,89,-7.2688,-2.8543,19.86,66.29,33.71,1.12,58.43,47.19,52.81,-0.1939,-0.2875
