kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,20.82,3685,-18.8137,-6.4822,79.67,39.59,60.41,0.16,46.13,31.97,68.03,0.1442,-0.012
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,8.2,1074,-4.2868,-1.4394,79.67,45.9,54.1,4.0,47.86,35.1,64.9,0.0474,-0.0264
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,64.36,331,0.0,0.0,79.67,17.82,82.18,28.4,39.27,32.93,67.07,0.1732,-0.0906
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,11.08,2364,32.9085,5.625,79.67,44.46,55.54,0.13,48.6,40.4,59.6,0.0787,0.2188
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,5.84,926,5.8954,1.3994,79.67,47.08,52.92,3.89,49.68,36.93,63.07,0.0367,0.0264
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,17.02,3683,-18.8398,-6.4829,79.67,41.49,58.51,0.73,45.89,35.43,64.57,0.2248,-0.0108
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,10.24,1074,-4.2868,-1.4394,79.67,44.88,55.12,8.85,47.39,38.36,61.64,0.1021,-0.2164
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,78.24,331,0.0,0.0,79.67,10.88,89.12,32.33,39.27,32.93,67.07,0.4328,-0.1913
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,3.3,2364,32.9085,5.625,79.67,48.35,51.65,0.34,49.41,44.8,55.2,0.0418,0.6549
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,10.16,926,5.8954,1.3994,79.67,44.92,55.08,10.48,50.11,38.23,61.77,0.0796,0.1631
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,13.82,3681,-18.8597,-6.4846,79.67,43.09,56.91,1.11,45.34,36.38,63.62,0.263,-0.0307
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,15.08,1074,-4.2868,-1.4394,79.67,42.46,57.54,13.22,46.83,39.57,60.43,0.1837,-0.3937
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,84.9,331,0.0,0.0,79.67,7.55,92.45,35.65,39.88,39.58,60.42,0.6391,-0.64
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,1.86,2364,32.9085,5.625,79.67,49.07,50.93,0.42,48.1,48.35,51.65,0.0289,1.1389
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,9.94,926,5.8954,1.3994,79.67,45.03,54.97,14.79,50.76,39.96,60.04,0.1224,0.2685
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,10.44,3676,-18.8836,-6.4895,79.67,44.78,55.22,2.75,44.89,36.43,63.57,0.292,-0.0549
233MA,ma233,大周期天气过滤,233MA下侧偏离,10,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,25.52,1074,-4.2868,-1.4394,79.67,37.24,62.76,17.5,44.23,39.76,60.24,0.4248,-0.8313
233MA,ma233,大周期天气过滤,233MA贴近中轴,10,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,90.94,331,0.0,0.0,79.67,4.53,95.47,40.18,41.69,43.81,56.19,1.0376,-1.0812
233MA,ma233,大周期天气过滤,233MA上侧极端,10,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,6.1,2364,32.9085,5.625,79.67,53.05,46.95,1.14,48.73,50.51,49.49,-0.1451,2.2463
233MA,ma233,大周期天气过滤,233MA上侧偏离,10,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,15.34,926,5.8954,1.3994,79.67,42.33,57.67,23.87,51.73,41.58,58.42,0.1976,0.6959
中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,强,32.64,190,-11.0148,-2.8476,30.06,66.32,33.68,0.0,55.79,43.68,56.32,-0.2757,0.0299
中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,3.18,3342,-4.1513,-1.1521,47.72,51.59,48.41,5.75,49.37,31.78,68.22,-0.0198,-0.0061
中值,middle,短期拉伸/回归,中值贴近中轴,1,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,43.12,1649,0.0,0.0,58.34,20.62,63.74,29.23,41.66,24.5,75.5,0.1189,0.004
中值,middle,短期拉伸/回归,中值上侧极端,1,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,强,31.4,344,11.7627,2.7337,86.82,65.7,34.3,0.29,52.62,68.6,31.4,-0.2954,0.0806
中值,middle,短期拉伸/回归,中值上侧偏离,1,短期上侧偏离,轻微回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,3.18,2855,4.6318,1.1557,70.3,51.59,48.41,6.02,50.16,41.19,58.81,-0.0185,0.147
中值,middle,短期拉伸/回归,中值下侧极端,3,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,强,62.1,190,-11.0148,-2.8476,30.06,81.05,18.95,2.11,51.58,44.21,55.79,-0.8088,-0.3145
中值,middle,短期拉伸/回归,中值下侧偏离,3,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,3.96,3340,-4.1524,-1.1521,47.72,51.98,48.02,14.82,49.49,34.13,65.87,-0.0344,0.0424
中值,middle,短期拉伸/回归,中值贴近中轴,3,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,61.07,1649,0.0,0.0,58.34,11.7,72.77,34.45,39.48,24.01,75.99,0.337,0.0119
中值,middle,短期拉伸/回归,中值上侧极端,3,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,强,60.46,344,11.7627,2.7337,86.82,80.23,19.77,4.36,56.98,77.33,22.67,-0.7518,0.393
