kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,14.22,5840,-9.005,-5.5915,42.55,42.89,57.11,0.05,52.0,34.26,65.74,0.0867,0.0043
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,9.82,2517,-2.0348,-1.5338,54.46,45.09,54.91,3.3,48.39,33.41,66.59,0.0503,-0.035
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,47.58,721,-0.0209,-0.0162,58.59,26.21,73.79,32.87,49.65,31.35,68.65,0.1549,-0.0282
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,17.66,7119,11.2191,6.3583,77.13,41.17,58.83,0.04,48.07,37.31,62.69,0.1118,0.0578
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,8.6,1952,1.9823,1.396,62.41,45.7,54.3,4.87,49.08,34.53,65.47,0.0485,0.0119
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,8.8,5838,-9.0075,-5.5892,42.55,45.6,54.4,0.48,52.0,38.83,61.17,0.1078,0.0158
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,13.38,2517,-2.0348,-1.5338,54.46,43.31,56.69,8.7,48.67,37.86,62.14,0.1053,-0.0908
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,70.6,721,-0.0209,-0.0162,58.59,14.7,85.3,37.73,46.05,38.56,61.44,0.4462,-0.1797
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,10.54,7119,11.2191,6.3583,77.13,44.73,55.27,0.35,47.27,42.27,57.73,0.1429,0.172
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,10.46,1952,1.9823,1.396,62.41,44.77,55.23,11.63,49.95,36.22,63.78,0.1127,0.0392
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,3.52,5836,-9.011,-5.5883,42.55,48.24,51.76,1.1,52.84,39.91,60.09,0.0518,0.0405
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,19.26,2517,-2.0348,-1.5338,54.46,40.37,59.63,12.59,46.76,38.46,61.54,0.2162,-0.1744
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,72.82,721,-0.0209,-0.0162,58.59,13.59,86.41,41.05,50.35,38.97,61.03,0.5499,-0.2486
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,7.76,7119,11.2191,6.3583,77.13,46.12,53.88,0.77,46.82,44.84,55.16,0.1454,0.2804
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,16.9,1952,1.9823,1.396,62.41,41.55,58.45,16.44,49.9,38.32,61.68,0.1981,0.0713
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,0.5,5831,-9.0176,-5.5852,42.55,49.75,50.25,2.73,52.08,39.51,60.49,0.0154,0.0126
233MA,ma233,大周期天气过滤,233MA下侧偏离,10,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,23.8,2517,-2.0348,-1.5338,54.46,38.1,61.9,18.75,46.13,40.21,59.79,0.3821,-0.269
233MA,ma233,大周期天气过滤,233MA贴近中轴,10,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,82.52,721,-0.0209,-0.0162,58.59,8.74,91.26,42.44,48.68,37.17,62.83,1.0176,-0.2221
233MA,ma233,大周期天气过滤,233MA上侧极端,10,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,0.32,7119,11.2191,6.3583,77.13,49.84,50.16,2.18,45.74,47.94,52.06,0.0112,0.5088
233MA,ma233,大周期天气过滤,233MA上侧偏离,10,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,强,30.74,1952,1.9823,1.396,62.41,34.63,65.37,24.69,47.39,40.68,59.32,0.5568,0.2998
中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,强,33.58,542,-5.3438,-2.822,24.0,66.79,33.21,0.18,59.41,46.49,53.51,-0.2329,0.1582
中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,4.82,6402,-1.835,-1.1667,40.75,52.41,47.59,6.22,52.58,34.61,65.39,-0.0273,-0.0049
中值,middle,短期拉伸/回归,中值贴近中轴,1,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,51.3,2862,-0.0305,-0.0202,52.44,24.35,75.65,34.98,49.83,30.82,69.18,0.1826,-0.0138
