kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,19.72,2638,-21.4047,-7.3145,45.09,40.14,59.86,0.08,48.9,34.65,65.35,0.1383,0.0011
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,6.92,709,-4.8739,-1.3884,62.79,46.54,53.46,5.22,49.93,34.56,65.44,0.0292,-0.0664
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,54.66,225,0.1047,0.0295,67.46,22.67,77.33,33.78,47.11,36.89,63.11,0.2331,-0.1406
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,5.84,1693,34.915,4.7806,79.64,47.08,52.92,0.12,50.74,43.0,57.0,0.0365,0.2756
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,6.64,739,6.9388,1.5351,70.21,46.68,53.32,3.65,49.39,36.54,63.46,0.0384,0.0832
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,11.34,2637,-21.4119,-7.3148,45.08,44.33,55.67,0.38,48.96,37.62,62.38,0.1592,-0.0284
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,6.5,708,-4.8827,-1.3883,62.81,46.75,53.25,12.57,50.14,41.95,58.05,0.0718,-0.1062
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,76.88,225,0.1047,0.0295,67.46,11.56,88.44,38.67,46.67,38.67,61.33,0.5653,0.2462
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,4.44,1693,34.915,4.7806,79.64,52.22,47.78,0.24,49.5,48.38,51.62,-0.0497,0.9192
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,8.26,739,6.9388,1.5351,70.21,45.87,54.13,12.18,50.74,40.73,59.27,0.105,-0.0844
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,7.02,2637,-21.4119,-7.3148,45.08,46.49,53.51,1.06,47.67,39.78,60.22,0.1608,-0.0511
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中强,21.82,706,-4.8827,-1.3864,62.84,39.09,60.91,16.29,46.46,40.51,59.49,0.2778,-0.0926
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,74.22,225,0.1047,0.0295,67.46,12.89,87.11,42.22,47.11,37.78,62.22,0.8228,0.3636
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,6.08,1693,34.915,4.7806,79.64,53.04,46.96,0.35,49.08,51.68,48.32,-0.0877,1.5167
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,9.34,739,6.9388,1.5351,70.21,45.33,54.67,17.86,52.77,44.38,55.62,0.1277,-0.192
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,4.82,2637,-21.4119,-7.3148,45.08,47.59,52.41,2.69,46.38,38.79,61.21,0.1264,-0.0959
233MA,ma233,大周期天气过滤,233MA下侧偏离,10,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,强,32.66,701,-4.9051,-1.3821,62.89,33.67,66.33,25.25,45.22,41.37,58.63,0.6473,-0.0233
233MA,ma233,大周期天气过滤,233MA贴近中轴,10,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,84.0,225,0.1047,0.0295,67.46,8.0,92.0,45.33,49.33,38.67,61.33,1.0767,0.6994
233MA,ma233,大周期天气过滤,233MA上侧极端,10,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,12.34,1693,34.915,4.7806,79.64,56.17,43.83,1.95,49.68,52.51,47.49,-0.2898,3.0623
233MA,ma233,大周期天气过滤,233MA上侧偏离,10,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中强,25.58,739,6.9388,1.5351,70.21,37.21,62.79,26.39,50.47,45.74,54.26,0.3648,-0.1657
中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,强,30.48,187,-11.2164,-2.7174,15.29,65.24,34.76,0.0,55.61,31.55,68.45,-0.2327,0.3286
中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,2.74,2482,-5.1032,-1.2104,35.31,51.37,48.63,5.36,49.88,31.51,68.49,-0.0141,-0.0553
中值,middle,短期拉伸/回归,中值贴近中轴,1,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,强,51.0,947,-0.0628,-0.0157,49.12,24.5,75.5,35.27,49.95,31.89,68.11,0.209,0.1016
中值,middle,短期拉伸/回归,中值上侧极端,1,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,强,35.68,227,14.7948,2.8016,82.93,67.84,32.16,0.0,53.3,63.88,36.12,-0.2995,0.6107
中值,middle,短期拉伸/回归,中值上侧偏离,1,短期上侧偏离,轻微回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,3.2,2161,5.3698,1.2082,63.58,51.6,48.4,6.52,50.67,44.05,55.95,-0.022,0.1356
中值,middle,短期拉伸/回归,中值下侧极端,3,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,强,56.14,187,-11.2164,-2.7174,15.29,78.07,21.93,1.6,61.5,32.62,67.38,-0.8303,1.3966
中值,middle,短期拉伸/回归,中值下侧偏离,3,短期下侧偏离,轻微回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,弱,3.38,2480,-5.1075,-1.2104,35.31,51.69,48.31,14.44,48.83,35.93,64.07,-0.0287,-0.2189
